"","response","explanatory","constraint","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"Var116","RhythmDist","GeographicDist","LanguageDist",0.209834800247415,0.166729737545323,0.0761875921036071,-0.000796775221092277,2.14370256139205,3.46799554890799,94,99
"Var117","TensionDist","GeographicDist","LanguageDist",0.180719296518726,0.122671192132778,0.0811973149969831,0.00463042458006502,2.29316727274711,1.41317724070876,69,93
"Var118","MusicalDist","GeneticDist","LanguageDist",0.168288315701992,0.120815643901415,0.0677930677962144,-0.00989084322076771,3.88748341985133,-0.873209098007419,86,100
"Var119","DifferentiationDist","GeneticDist","LanguageDist",0.196478632595034,0.150693629283326,0.0810701591811084,0.00449267244620074,4.06395747308226,3.41086851614905,94,100
"Var120","DynamicsDist","GeneticDist","LanguageDist",0.0837819164643665,0.0099640750352139,0.0711741471698765,-0.00622800723263379,-3.54278533127016,-0.315705136570023,10,58
"Var121","OrnamentationDist","GeneticDist","LanguageDist",0.190494462133707,0.13427306677337,0.0743022224696881,-0.0028392589911712,2.48802105194129,2.13353810401158,87,98
"Var122","RhythmDist","GeneticDist","LanguageDist",0.18035801542313,0.13291813142335,0.0731010186100782,-0.00414056317241529,3.65596586272741,1.18541518848642,92,100
"Var123","TensionDist","GeneticDist","LanguageDist",0.155646667127245,0.0939114113601964,0.072705380554992,-0.00456917106542537,2.1006331865966,1.86178738004451,66,95
"Var124","MusicalDist","GeographicDist","GeneticDist",0.181548581026719,0.14875867377165,0.0698299963154749,-0.00768417065823548,-0.195018466118289,2.58429084858831,96,99
"Var125","DifferentiationDist","GeographicDist","GeneticDist",0.204708331647158,0.166869087400464,0.0753239825133461,-0.00173235227720838,3.70899638297339,0.809006671338554,86,99
"Var126","DynamicsDist","GeographicDist","GeneticDist",0.0558278213741486,-0.0186814512136483,0.0782172248863329,0.00140199362686065,-0.235433294130607,-1.4116185149453,0,40
"Var127","OrnamentationDist","GeographicDist","GeneticDist",0.383032491571805,0.361480071140872,0.0786060377684109,0.00182320758244518,9.11659082856198,7.39718192425158,100,100
"Var128","RhythmDist","GeographicDist","GeneticDist",0.0928875360087546,0.0462071132592826,0.0787413541597875,0.00196980033976979,0.384519353804477,0.140417545063956,13,77
"Var129","TensionDist","GeographicDist","GeneticDist",0.182683225222897,0.134118598289462,0.0821087287178153,0.0056177894442999,3.36458489273639,1.10212642381846,76,96
"Var130","MusicalDist","LanguageDist","GeneticDist",0.0598690318626527,0.0260976458507377,0.0789153569687832,0.00215830338284845,0.685926692353208,-1.8366847634509,2,49
"Var131","DifferentiationDist","LanguageDist","GeneticDist",0.15565761212194,0.129980887433523,0.0782088190658536,0.00139288732134143,-0.95581814272103,1.37583175438589,74,97
"Var132","DynamicsDist","LanguageDist","GeneticDist",0.0172291488347678,-0.035017014055064,0.0776611146557973,0.000799540877113701,-1.50098464239131,-1.8261038462454,0,16
"Var133","OrnamentationDist","LanguageDist","GeneticDist",0.210762007376608,0.182748090350587,0.0488163740246545,-0.00259895710914799,7.32990855652601,4.7746870798317,100,100
"Var134","RhythmDist","LanguageDist","GeneticDist",0.0305669306304924,-0.00607085735100565,0.046927094369095,-0.00459035998933227,-2.03214198469919,-0.730764856348077,0,38
"Var135","TensionDist","LanguageDist","GeneticDist",0.0761318660296336,0.0344114141684868,0.0529760617963314,0.0017855786501872,0.616159214040328,-0.995679398429664,21,74
