"","response","explanatory","constraint","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"Var124","MusicalDist","GeographicDist","GeneticDist",0.0473178126557758,-0.0560102764681489,0.15448178463633,-0.00405288074435839,0.115507853772808,-2.24225321261972,0,23
"Var125","DifferentiationDist","GeographicDist","GeneticDist",0.159179577242162,0.0975474111219371,0.155850699670327,-0.0024272941414872,0.496319510977523,-0.272109791497102,9,60
"Var126","DynamicsDist","GeographicDist","GeneticDist",0.132976211050551,0.0510275819769147,0.158356828487589,0.000548733829011664,0.836103920622956,-1.24312811907689,3,59
"Var127","OrnamentationDist","GeographicDist","GeneticDist",0.0780666602447831,-0.0263306419624628,0.158797382669301,0.00107189191979528,0.0333355687867944,-1.63731327001768,0,33
"Var128","RhythmDist","GeographicDist","GeneticDist",0.020697163346646,-0.0951864690745078,0.164538958247281,0.00789001291864616,-2.22793746651697,-2.36909012222547,0,13
"Var129","TensionDist","GeographicDist","GeneticDist",0.0782906772343644,-0.0209711014618134,0.160383975530373,0.00295597094231837,-1.38227690284981,-1.98834979054179,0,33
"Var130","MusicalDist","LanguageDist","GeneticDist",0.084325938899793,-0.147014315244299,0.159672152585219,0.00211068119494712,-0.285642983134275,-4.45746771912412,0,28
"Var131","DifferentiationDist","LanguageDist","GeneticDist",0.182130259062898,0.0119148748672626,0.159310456228213,0.0016811667710035,0.276748179846215,-1.53375481497404,12,52
"Var132","DynamicsDist","LanguageDist","GeneticDist",0.187644629277317,-0.00492298069152641,0.151205561050318,-0.00794339625274706,0.694940466980403,-1.83098114783682,17,51
"Var133","OrnamentationDist","LanguageDist","GeneticDist",0.143939233457073,-0.080745469047195,0.109212264640156,0.00441370753899799,0.303043306971701,-2.277132517094,15,41
"Var134","RhythmDist","LanguageDist","GeneticDist",0.094916295738066,-0.137358643519626,0.0999197966313611,-0.00597199200024351,-0.471700051488385,-3.0242990194207,3,39
"Var135","TensionDist","LanguageDist","GeneticDist",0.113860969652952,-0.11657317936921,0.0984778099620522,-0.0075836241600593,-1.23545738739735,-4.12360831480044,12,40
