"response","explanatory","r2","adj.r2","perm_r2","perm_adjr2","perm_r2z","perm_adjr2z","perm_r2z_p","perm_adjr2z_p"
"DifferentiationDist","DynamicsDist",0.440527133847268,0.230724809039994,0.250486945100611,-0.0305804504866597,1.63195534743761,-0.683345735736264,40,86
"OrnamentationDist","DynamicsDist",0.387474930435374,0.157778029348639,0.259622580471696,-0.018018951851418,1.44167937241433,0.266145667281394,29,70
"RhythmDist","DynamicsDist",0.178175688062162,-0.130008428914527,0.268335058309107,-0.0060392948249785,0.688619978481692,-2.94012691348528,1,30
"TensionDist","DynamicsDist",0.680111963423015,0.560153949706646,0.295952056526895,0.0319340777244805,1.54659949304318,-0.261719749892808,87,98
"MusicalDist","OrnamentationDist",0.566966497829734,0.470736830680786,0.195434175974329,0.0166417706352913,3.30385895495552,2.14690435337867,86,98
"DifferentiationDist","OrnamentationDist",0.56345033906412,0.466439303300592,0.189740645814276,0.0096830115507815,2.49634159320828,1.48573842376299,94,97
"DynamicsDist","OrnamentationDist",0.360429332149057,0.218302517071069,0.197567995232551,0.0192497719508958,1.57648275988258,0.007055840132612,50,80
"RhythmDist","OrnamentationDist",0.139045572415279,-0.0522776337146587,0.159239576533323,-0.0275960731259387,0.145445906142581,-0.764883797426889,1,33
"TensionDist","OrnamentationDist",0.692746703764245,0.624468193489633,0.191295665397329,0.0115835910411794,5.94190213989076,3.4723819710812,100,100
"MusicalDist","RhythmDist",0.110441844840626,-0.0872377451947906,0.195836819035688,0.017133889932507,-0.299900324053178,-0.848000397279148,0,28
"DifferentiationDist","RhythmDist",0.145141264445861,-0.0448273434550583,0.196676127673911,0.018159711601447,0.761612272521886,-1.40078633159723,1,29
"DynamicsDist","RhythmDist",0.158448876056542,-0.0285624848197814,0.164106992218917,-0.0216470095102128,-1.24833851678139,-2.36524241181059,5,51
"OrnamentationDist","RhythmDist",0.365748178401718,0.224803329157655,0.17813682121478,-0.00449944073749089,2.1257490636757,0.301353681161673,49,85
"TensionDist","RhythmDist",0.314303534676202,0.161926542382025,0.167605548332649,-0.0173709964823182,0.794762923879709,-1.17254749327542,40,80
"MusicalDist","TensionDist",0.596736208917275,0.507122033121114,0.17705083752086,-0.0058267541411715,2.0876761198439,2.68220203944931,94,97
"DifferentiationDist","TensionDist",0.514910642498767,0.407113007498493,0.173277733979881,-0.0104383251357012,4.5201173713595,3.11985483091781,91,99
"DynamicsDist","TensionDist",0.612692561456917,0.526624241780676,0.189620575310167,0.00953625871242621,2.41234636167506,1.82579248057605,97,100
"OrnamentationDist","TensionDist",0.707562845244139,0.642576810853948,0.189119803627964,0.00892420443417796,3.96599647316754,1.5434601691668,97,100
"RhythmDist","TensionDist",0.240270811624586,0.0714421030967161,0.170546775369243,-0.0137761634375922,0.278747732959362,-1.52603885702985,23,56
